"attempts","chart_label","model","prompt","pipeline","series_label","success_rate_percent_1dp","success_rate_percent_exact","success","failed","timeout","total","runs"
"5","32B baseline","32B","baseline","original","Original","43.3","43.33","52","67","1","120","3"
"5","32B baseline","32B","baseline","ansi_fixed","ANSI-fixed","86.7","86.67","104","16","0","120","3"
"5","32B detailed","32B","detailed","original","Original","45","45","54","65","1","120","3"
"5","32B detailed","32B","detailed","ansi_fixed","ANSI-fixed","81.7","81.67","98","21","1","120","3"
"5","6.7B baseline","6.7B","baseline","original","Original","27.5","27.5","33","86","1","120","3"
"5","6.7B baseline","6.7B","baseline","ansi_fixed","ANSI-fixed","58.3","58.33","70","47","3","120","3"
"5","6.7B detailed","6.7B","detailed","original","Original","20.8","20.83","25","95","0","120","3"
"5","6.7B detailed","6.7B","detailed","ansi_fixed","ANSI-fixed","49.2","49.17","59","58","3","120","3"
"15","32B baseline","32B","baseline","original","Original","48.3","48.33","58","62","0","120","3"
"15","32B baseline","32B","baseline","ansi_fixed","ANSI-fixed","83.3","83.33","100","20","0","120","3"
"15","32B detailed","32B","detailed","original","Original","44.2","44.17","53","67","0","120","3"
"15","32B detailed","32B","detailed","ansi_fixed","ANSI-fixed","80","80","96","21","3","120","3"
"15","6.7B baseline","6.7B","baseline","original","Original","30","30","36","78","6","120","3"
"15","6.7B baseline","6.7B","baseline","ansi_fixed","ANSI-fixed","63.3","63.33","76","43","1","120","3"
"15","6.7B detailed","6.7B","detailed","original","Original","29.2","29.17","35","85","0","120","3"
"15","6.7B detailed","6.7B","detailed","ansi_fixed","ANSI-fixed","56.7","56.67","68","49","3","120","3"
