"pipeline","model","attempts","profile","run","cut","status","baseline_mutation","augmented_mutation","baseline_mutation_percent","augmented_mutation_percent","delta_pp","source_dir"
"ansi_fixed","32b","15","baseline","1","ArrayUtil","SUCCESS","28/57","-","49.1228070175439",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","Axis","SUCCESS","17/40","-","42.5",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","Base32","SUCCESS","50/72","-","69.4444444444444",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","Base64","SUCCESS","67/95","-","70.5263157894737",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","Base64Coder","SUCCESS","81/94","88/94","86.1702127659574","93.6170212765958","7.44680851063831","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","BigDecimalUtil","SUCCESS","4/6","-","66.6666666666667",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","BinaryDisplayConverter","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","ByteVector","SUCCESS","31/138","-","22.463768115942",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","CaselessStringMap","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","CommandLine","SUCCESS","17/32","20/32","53.125","62.5","9.375","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","DateTools","SUCCESS","18/27","-","66.6666666666667",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","DateUtil","SUCCESS","20/28","26/28","71.4285714285714","92.8571428571429","21.4285714285714","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","DisplayHelper","SUCCESS","9/9","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","EmailFacadeState","SUCCESS","11/13","13/13","84.6153846153846","100","15.3846153846154","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","FilterMatcher","SUCCESS","19/24","-","79.1666666666667",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","GridLayout2","SUCCESS","20/103","-","19.4174757281553",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","HashCodeUtils","SUCCESS","30/38","-","78.9473684210526",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","HtmlEncoder","SUCCESS","6/7","6/7","85.7142857142857","85.7142857142857","0","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","IndexedString","SUCCESS","27/28","27/28","96.4285714285714","96.4285714285714","0","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","Inflection","SUCCESS","14/20","-","70",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","InspirentoUtilities","SUCCESS","15/16","15/16","93.75","93.75","0","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","MapUtil","SUCCESS","16/16","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","MathUtil","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","NaturalSort","SUCCESS","47/66","49/66","71.2121212121212","74.2424242424242","3.03030303030303","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","ObjectsUtil","SUCCESS","7/14","-","50",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","Reference","SUCCESS","10/19","-","52.6315789473684",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","Region","SUCCESS","10/25","20/25","40","80","40","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","SAXPathException","SUCCESS","1/10","-","10",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","SimpleCounter","SUCCESS","2/3","3/3","66.6666666666667","100","33.3333333333333","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","SortedArrayList","SUCCESS","14/19","-","73.6842105263158",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","SortedMapVector","SUCCESS","28/63","48/63","44.4444444444444","76.1904761904762","31.7460317460317","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","StringComparator","SUCCESS","13/16","15/16","81.25","93.75","12.5","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","StringEncoder64","SUCCESS","127/177","140/177","71.7514124293785","79.0960451977401","7.34463276836158","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
