"pipeline","model","attempts","profile","run","successful_suites","total_possible","pit_completed_cases","mean_baseline_mutation_score_percent","augmented_cases","mean_augmented_mutation_score_percent","mean_delta_pp"
"ansi_fixed","32b","5","baseline","1","37","40","37","64.14","16","76.5","12.28"
"ansi_fixed","32b","5","baseline","2","34","40","34","59.32","14","76.09","15.21"
"ansi_fixed","32b","5","baseline","3","33","40","33","64.54","13","84.85","16.9"
"ansi_fixed","32b","5","detailed","1","34","40","34","58.93","14","72.51","14.49"
"ansi_fixed","32b","5","detailed","2","33","40","33","56.61","13","76.72","20.53"
"ansi_fixed","32b","5","detailed","3","31","40","31","63.37","9","72.21","11.44"
"ansi_fixed","32b","15","baseline","1","36","40","36","64.21","16","83.41","15.11"
"ansi_fixed","32b","15","baseline","2","32","40","32","63.22","14","74.44","14.79"
"ansi_fixed","32b","15","baseline","3","32","40","32","63.89","14","79.01","17.17"
"ansi_fixed","32b","15","detailed","1","33","40","33","60.33","14","76.96","13.9"
"ansi_fixed","32b","15","detailed","2","31","40","31","58.88","17","76.69","22.68"
"ansi_fixed","32b","15","detailed","3","32","40","32","60.52","12","80.74","21.09"
"ansi_fixed","6.7b","5","baseline","1","23","40","23","61.6","7","61.15","10.75"
"ansi_fixed","6.7b","5","baseline","2","20","40","20","63.96","5","74.29","5.06"
"ansi_fixed","6.7b","5","baseline","3","27","40","27","57.88","4","73.49","9.7"
"ansi_fixed","6.7b","5","detailed","1","19","40","19","63.85","3","74.85","3.84"
"ansi_fixed","6.7b","5","detailed","2","17","40","17","50.77","4","65.36","-0.99"
"ansi_fixed","6.7b","5","detailed","3","23","40","23","69.89","5","78.09","14.44"
"ansi_fixed","6.7b","15","baseline","1","21","40","21","62.25","4","50.47","-21.81"
"ansi_fixed","6.7b","15","baseline","2","24","40","24","61.8","7","41.11","-11.96"
"ansi_fixed","6.7b","15","baseline","3","31","40","31","61.89","10","67.17","10.08"
"ansi_fixed","6.7b","15","detailed","1","27","40","27","50.8","7","70.08","10.13"
"ansi_fixed","6.7b","15","detailed","2","18","40","18","60.35","1","73.68","31.58"
"ansi_fixed","6.7b","15","detailed","3","23","40","23","59.84","6","63.22","6.85"
"ansi_last_successful","6.7b","5","baseline","1","20","40","20","66.64","5","59.89","3.1"
"ansi_last_successful","6.7b","5","baseline","2","24","40","24","66.11","8","53.86","-0.33"
"ansi_last_successful","6.7b","5","baseline","3","24","40","24","63.89","6","64.82","5.36"
"guided_lite_ansi","32b","5","guided_lite","1","30","40","30","60.64","15","78.48","21.19"
"guided_lite_ansi","6.7b","5","guided_lite","1","20","40","20","53","7","62.89","6.82"
"guided_lite_ansi","6.7b","5","guided_lite","2","23","40","23","63.91","4","38.98","5.72"
"guided_lite_ansi","6.7b","5","guided_lite","3","18","40","18","56.72","1","63.16","21.05"
"guided_lite_ansi","6.7b","15","guided_lite","1","19","40","19","51.82","3","76.52","23.81"
"original","32b","5","baseline","1","17","40","17","54.53","3","93.75","35.04"
"original","32b","5","baseline","2","17","40","17","58","2","90","26.67"
"original","32b","5","baseline","3","18","40","18","57.25","5","65.87","17.39"
"original","32b","5","detailed","1","18","40","18","57.87","4","72.65","19.97"
"original","32b","5","detailed","2","20","40","20","56.82","4","63.94","21.95"
"original","32b","5","detailed","3","16","40","16","56.47","5","59.24","17.87"
"original","32b","15","baseline","1","19","40","19","57.74","3","78.61","24.72"
"original","32b","15","baseline","2","22","40","22","56.74","4","68.11","25.32"
"original","32b","15","baseline","3","17","40","17","60.42","2","76.72","18.22"
"original","32b","15","detailed","1","21","40","21","51.79","7","84.2","24.09"
"original","32b","15","detailed","2","14","40","14","54.59","2","67.71","14.06"
"original","32b","15","detailed","3","18","40","18","61.12","5","60.91","15.22"
"original","6.7b","5","baseline","1","11","40","11","58.81","3","44.76","-7.72"
"original","6.7b","5","baseline","2","9","40","9","44.1","2","52.63","8.77"
"original","6.7b","5","baseline","3","13","40","13","45.39","1","52.38","0"
"original","6.7b","5","detailed","1","8","40","8","47.7","2","54.55","8.33"
"original","6.7b","5","detailed","2","8","40","8","51.23","2","59.3","16.64"
"original","6.7b","5","detailed","3","9","40","9","48.82","1","60","24"
"original","6.7b","15","baseline","1","8","40","8","62.37","0",,
"original","6.7b","15","baseline","2","15","40","15","56.55","3","31.56","5.85"
"original","6.7b","15","baseline","3","13","40","13","54.15","5","76.17","11.95"
"original","6.7b","15","detailed","1","13","40","13","48.29","0",,
"original","6.7b","15","detailed","2","9","40","9","55.19","0",,
"original","6.7b","15","detailed","3","13","40","13","57.27","1","85.71","14.29"
