"pipeline","model","attempts","profile","successful_suites","total_possible","pit_completed_cases","mean_baseline_mutation_score_percent","augmented_cases","mean_augmented_mutation_score_percent","mean_delta_pp"
"ansi_fixed","32b","5","baseline","104","120","104","62.69","43","78.89","14.63"
"ansi_fixed","32b","5","detailed","98","120","98","59.55","36","73.96","15.91"
"ansi_fixed","32b","15","baseline","100","120","100","63.79","44","79.16","15.66"
"ansi_fixed","32b","15","detailed","96","120","96","59.92","43","77.91","19.38"
"ansi_fixed","6.7b","5","baseline","70","120","70","60.84","16","68.34","8.71"
"ansi_fixed","6.7b","5","detailed","59","120","59","62.44","12","73.04","6.65"
"ansi_fixed","6.7b","15","baseline","76","120","76","61.96","21","55.3","-3.34"
"ansi_fixed","6.7b","15","detailed","68","120","68","56.38","14","67.4","10.26"
"ansi_last_successful","6.7b","5","baseline","68","120","68","65.48","19","58.91","2.37"
"guided_lite_ansi","32b","5","guided_lite","30","40","30","60.64","15","78.48","21.19"
"guided_lite_ansi","6.7b","5","guided_lite","61","120","61","58.21","12","54.94","7.64"
"guided_lite_ansi","6.7b","15","guided_lite","19","40","19","51.82","3","76.52","23.81"
"original","32b","5","baseline","52","120","52","56.61","10","79.06","24.54"
"original","32b","5","detailed","54","120","54","57.06","13","64.81","19.77"
"original","32b","15","baseline","58","120","58","58.14","9","73.53","23.54"
"original","32b","15","detailed","53","120","53","55.7","14","73.53","19.49"
"original","6.7b","5","baseline","33","120","33","49.51","6","48.66","-0.94"
"original","6.7b","5","detailed","25","120","25","49.23","5","57.54","14.79"
"original","6.7b","15","baseline","36","120","36","56.98","8","59.44","9.66"
"original","6.7b","15","detailed","35","120","35","53.4","1","85.71","14.29"
