"pipeline","model","attempts","profile","run","success","failed","timeout","total","success_rate_percent"
"ansi_fixed","32b","5","baseline","1","37","3","0","40","92.5"
"ansi_fixed","32b","5","baseline","2","34","6","0","40","85"
"ansi_fixed","32b","5","baseline","3","33","7","0","40","82.5"
"ansi_fixed","32b","5","detailed","1","34","6","0","40","85"
"ansi_fixed","32b","5","detailed","2","33","7","0","40","82.5"
"ansi_fixed","32b","5","detailed","3","31","8","1","40","77.5"
"ansi_fixed","32b","15","baseline","1","36","4","0","40","90"
"ansi_fixed","32b","15","baseline","2","32","8","0","40","80"
"ansi_fixed","32b","15","baseline","3","32","8","0","40","80"
"ansi_fixed","32b","15","detailed","1","33","6","1","40","82.5"
"ansi_fixed","32b","15","detailed","2","31","8","1","40","77.5"
"ansi_fixed","32b","15","detailed","3","32","7","1","40","80"
"ansi_fixed","6.7b","5","baseline","1","23","17","0","40","57.5"
"ansi_fixed","6.7b","5","baseline","2","20","17","3","40","50"
"ansi_fixed","6.7b","5","baseline","3","27","13","0","40","67.5"
"ansi_fixed","6.7b","5","detailed","1","19","19","2","40","47.5"
"ansi_fixed","6.7b","5","detailed","2","17","22","1","40","42.5"
"ansi_fixed","6.7b","5","detailed","3","23","17","0","40","57.5"
"ansi_fixed","6.7b","15","baseline","1","21","18","1","40","52.5"
"ansi_fixed","6.7b","15","baseline","2","24","16","0","40","60"
"ansi_fixed","6.7b","15","baseline","3","31","9","0","40","77.5"
"ansi_fixed","6.7b","15","detailed","1","27","13","0","40","67.5"
"ansi_fixed","6.7b","15","detailed","2","18","20","2","40","45"
"ansi_fixed","6.7b","15","detailed","3","23","16","1","40","57.5"
"ansi_last_successful","6.7b","5","baseline","1","20","20","0","40","50"
"ansi_last_successful","6.7b","5","baseline","2","24","15","1","40","60"
"ansi_last_successful","6.7b","5","baseline","3","24","16","0","40","60"
"guided_lite_ansi","32b","5","guided_lite","1","30","10","0","40","75"
"guided_lite_ansi","6.7b","5","guided_lite","1","20","18","2","40","50"
"guided_lite_ansi","6.7b","5","guided_lite","2","23","16","1","40","57.5"
"guided_lite_ansi","6.7b","5","guided_lite","3","18","21","1","40","45"
"guided_lite_ansi","6.7b","15","guided_lite","1","19","21","0","40","47.5"
"original","32b","5","baseline","1","17","23","0","40","42.5"
"original","32b","5","baseline","2","17","23","0","40","42.5"
"original","32b","5","baseline","3","18","21","1","40","45"
"original","32b","5","detailed","1","18","22","0","40","45"
"original","32b","5","detailed","2","20","20","0","40","50"
"original","32b","5","detailed","3","16","23","1","40","40"
"original","32b","15","baseline","1","19","21","0","40","47.5"
"original","32b","15","baseline","2","22","18","0","40","55"
"original","32b","15","baseline","3","17","23","0","40","42.5"
"original","32b","15","detailed","1","21","19","0","40","52.5"
"original","32b","15","detailed","2","14","26","0","40","35"
"original","32b","15","detailed","3","18","22","0","40","45"
"original","6.7b","5","baseline","1","11","28","1","40","27.5"
"original","6.7b","5","baseline","2","9","31","0","40","22.5"
"original","6.7b","5","baseline","3","13","27","0","40","32.5"
"original","6.7b","5","detailed","1","8","32","0","40","20"
"original","6.7b","5","detailed","2","8","32","0","40","20"
"original","6.7b","5","detailed","3","9","31","0","40","22.5"
"original","6.7b","15","baseline","1","8","32","0","40","20"
"original","6.7b","15","baseline","2","15","25","0","40","37.5"
"original","6.7b","15","baseline","3","13","21","6","40","32.5"
"original","6.7b","15","detailed","1","13","27","0","40","32.5"
"original","6.7b","15","detailed","2","9","31","0","40","22.5"
"original","6.7b","15","detailed","3","13","27","0","40","32.5"
