"pipeline","model","attempts","profile","runs","success","failed","timeout","total","success_rate_percent","mean_run_success_rate_percent","coverage"
"ansi_fixed","32b","5","baseline","3","104","16","0","120","86.67","86.67","full_3_runs"
"ansi_fixed","32b","5","detailed","3","98","21","1","120","81.67","81.67","full_3_runs"
"ansi_fixed","32b","15","baseline","3","100","20","0","120","83.33","83.33","full_3_runs"
"ansi_fixed","32b","15","detailed","3","96","21","3","120","80","80","full_3_runs"
"ansi_fixed","6.7b","5","baseline","3","70","47","3","120","58.33","58.33","full_3_runs"
"ansi_fixed","6.7b","5","detailed","3","59","58","3","120","49.17","49.17","full_3_runs"
"ansi_fixed","6.7b","15","baseline","3","76","43","1","120","63.33","63.33","full_3_runs"
"ansi_fixed","6.7b","15","detailed","3","68","49","3","120","56.67","56.67","full_3_runs"
"ansi_last_successful","6.7b","5","baseline","3","68","51","1","120","56.67","56.67","full_3_runs"
"guided_lite_ansi","32b","5","guided_lite","1","30","10","0","40","75","75","single_run_pilot"
"guided_lite_ansi","6.7b","5","guided_lite","3","61","55","4","120","50.83","50.83","full_3_runs"
"guided_lite_ansi","6.7b","15","guided_lite","1","19","21","0","40","47.5","47.5","single_run_pilot"
"original","32b","5","baseline","3","52","67","1","120","43.33","43.33","full_3_runs"
"original","32b","5","detailed","3","54","65","1","120","45","45","full_3_runs"
"original","32b","15","baseline","3","58","62","0","120","48.33","48.33","full_3_runs"
"original","32b","15","detailed","3","53","67","0","120","44.17","44.17","full_3_runs"
"original","6.7b","5","baseline","3","33","86","1","120","27.5","27.5","full_3_runs"
"original","6.7b","5","detailed","3","25","95","0","120","20.83","20.83","full_3_runs"
"original","6.7b","15","baseline","3","36","78","6","120","30","30","full_3_runs"
"original","6.7b","15","detailed","3","35","85","0","120","29.17","29.17","full_3_runs"
