CUT,SF110_Project,LOC,PubMethods,Statefulness,TransformationType,DependencyBurden,OracleClarity
ArrayUtil,89_jiggler,115,11,stateless,collection_helper,self_contained,clear
Axis,24_saxpath,229,2,stateless,config_format,self_contained,clear
Base32,104_vuze,140,2,stateless,byte_codec,self_contained,hard
Base64,7_sfmis,186,6,stateless,byte_codec,self_contained,hard
Base64Coder,33_javaviewcontrol,145,6,stateless,byte_codec,self_contained,moderate
BigDecimalUtil,108_liferay,86,6,stateless,numeric_math,self_contained,clear
BinaryDisplayConverter,102_squirrel-sql,208,2,stateless,byte_codec,self_contained,hard
ByteVector,80_wheelwebtool,293,8,stateful,byte_codec,self_contained,moderate
CommandLine,66_openjms,259,9,light_state,parsing_matching,self_contained,moderate
DateTools,96_heal,137,6,stateless,time_dependent,self_contained,moderate
DateUtil,92_jcvi-javacommon,121,4,stateful,time_dependent,self_contained,moderate
DisplayHelper,30_bpmail,63,6,light_state,string_text,self_contained,moderate
EmailFacadeState,30_bpmail,66,6,stateful,collection_helper,self_contained,moderate
ExtBoolArray,39_diffi,69,4,light_state,collection_helper,self_contained,clear
FilterMatcher,102_squirrel-sql,112,5,light_state,parsing_matching,self_contained,moderate
GridLayout2,97_feudalismgame,155,6,stateful,mixed_other,multi_class_dependency,hard
HtmlEncoder,36_schemaspy,79,3,stateless,string_text,self_contained,moderate
IndexedString,39_diffi,74,2,light_state,string_text,self_contained,clear
Inflection,36_schemaspy,216,8,stateless,string_text,self_contained,moderate
InspirentoUtilities,17_inspirento,133,4,stateless,string_text,self_contained,clear
MapUtil,78_caloriecount,98,4,stateless,collection_helper,self_contained,clear
MathUtil,92_jcvi-javacommon,149,11,stateless,numeric_math,self_contained,clear
NaturalSort,35_corina,202,4,stateless,parsing_matching,self_contained,moderate
OutputConfig,52_lagoon,176,1,light_state,config_format,self_contained,hard
Reference,5_templateit,84,6,light_state,config_format,self_contained,clear
Region,5_templateit,85,9,light_state,config_format,light_dependency,moderate
SAXPathException,24_saxpath,135,6,light_state,mixed_other,self_contained,clear
SortedArrayList,108_liferay,111,8,stateful,collection_helper,self_contained,clear
SortedMapVector,105_freemind,166,12,stateful,collection_helper,self_contained,clear
StringComparator,35_corina,127,2,light_state,string_text,self_contained,moderate
StringEncoder64,73_fim1,209,8,stateless,byte_codec,self_contained,hard
StringLink,39_diffi,91,7,light_state,config_format,self_contained,clear
StringUtils,35_corina,236,6,stateless,string_text,self_contained,moderate
ToStringConverter,63_objectexplorer,61,1,stateless,string_text,self_contained,clear
UniqueTimestampGenerator,44_summa,240,8,stateful,time_dependent,self_contained,hard
Util,1_tullibee,89,7,stateless,string_text,self_contained,clear
Utils,52_lagoon,174,5,stateless,string_text,self_contained,moderate
Version,36_schemaspy,92,5,light_state,parsing_matching,self_contained,clear
Wildcard,52_lagoon,127,3,stateless,parsing_matching,self_contained,moderate
XStringSupport,83_xbus,133,4,stateless,string_text,self_contained,moderate
