GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testgen-lab,gridlayout2,GridLayout2,522,0,40,0,98,0,26,0,6,0
testgen-lab,filtermatcher,FilterMatcher,183,0,28,0,39,0,20,0,6,0
testgen-lab,outputconfig,OutputConfig,293,0,60,0,70,0,32,0,2,0
testgen-lab,base64,Base64,1936,0,26,0,79,0,23,0,10,0
testgen-lab,stringlink,StringLink,107,0,0,0,38,0,7,0,7,0
testgen-lab,axis,Axis,113,0,40,0,43,0,29,0,3,0
testgen-lab,commandline,CommandLine,204,0,32,0,48,0,26,0,10,0
testgen-lab,wildcard,Wildcard,89,0,16,0,19,0,11,0,3,0
testgen-lab,stringencoder64,StringEncoder64,602,0,46,0,111,0,35,0,11,0
testgen-lab,htmlencoder,HtmlEncoder,69,0,4,0,14,0,6,0,4,0
testgen-lab,indexedstring,IndexedString,150,0,20,0,30,0,13,0,3,0
testgen-lab,stringcomparator,StringComparator,68,0,10,0,18,0,8,0,3,0
testgen-lab,utils,Utils,177,0,30,0,45,0,24,0,5,0
testgen-lab,displayhelper,DisplayHelper,64,0,4,0,18,0,9,0,7,0
testgen-lab,dateutil,DateUtil,126,0,14,0,32,0,12,0,5,0
testgen-lab,emailfacadestate,EmailFacadeState,80,0,10,0,24,0,11,0,6,0
testgen-lab,xstringsupport,XStringSupport,82,111,8,16,16,24,9,8,3,2
testgen-lab,base64coder,Base64Coder,409,0,52,0,58,0,33,0,7,0
testgen-lab,camelcaseutil,CamelCaseUtil,172,0,30,0,43,0,21,0,6,0
testgen-lab,uniquetimestamp,UniqueTimestampGenerator,133,0,8,0,34,0,15,0,11,0
testgen-lab,calculator,Calculator,29,0,0,0,6,0,6,0,6,0
testgen-lab,tostringconverter,ToStringConverter,51,0,6,0,11,0,4,0,1,0
testgen-lab,inspirentoutilities,InspirentoUtilities,136,0,12,0,28,0,11,0,5,0
testgen-lab,base32cut,Base32,570,0,30,0,44,0,19,0,4,0
testgen-lab,org,Region,114,0,24,0,23,0,21,0,9,0
testgen-lab,org,Reference,76,0,10,0,24,0,11,0,6,0
testgen-lab,bigdecimalutil,BigDecimalUtil,116,0,0,0,24,0,7,0,7,0
testgen-lab,bytevector,ByteVector,563,0,44,0,113,0,33,0,11,0
testgen-lab,saxpathexception,SAXPathException,47,0,4,0,18,0,8,0,6,0
testgen-lab,version,Version,121,0,18,0,30,0,14,0,5,0
testgen-lab,stringutils,StringUtils,247,0,30,0,62,0,23,0,6,0
testgen-lab,maputil,MapUtil,124,0,8,0,19,0,9,0,5,0
testgen-lab,binarydisplayconverter,BinaryDisplayConverter,246,0,40,0,55,0,25,0,4,0
testgen-lab,binarydisplayconverter,BinaryDisplayConverter.ConversionConstants,9,0,0,0,4,0,1,0,1,0
testgen-lab,util,Util,119,0,30,0,28,0,23,0,8,0
testgen-lab,mathutil,MathUtil,278,0,24,0,62,0,26,0,14,0
testgen-lab,arrayutil,ArrayUtil,346,0,68,0,59,0,45,0,11,0
testgen-lab,datetools,DateTools,179,0,18,0,50,0,16,0,7,0
testgen-lab,extboolarray,ExtBoolArray,55,0,10,0,15,0,9,0,4,0
testgen-lab,naturalsort,NaturalSort.NaturalComparator,9,0,0,0,2,0,2,0,2,0
testgen-lab,naturalsort,NaturalSort,249,0,76,0,59,0,43,0,5,0
testgen-lab,naturalsort,NaturalSort.CINaturalComparator,9,0,0,0,2,0,2,0,2,0
testgen-lab,inflection,Inflection,348,0,20,0,102,0,23,0,13,0
