## Batch results — 2026-03-26 18:46

| CUT | Status | reached | stuck_at | baseline | augmented | repair | elapsed |
|-----|--------|---------|----------|----------|-----------|--------|---------|
| ArrayUtil | SUCCESS | done | - | 23/57 | 12/57 | 0 | 73.9 |
| Axis | SUCCESS | done | - | 15/40 | - | 0 | 30.7 |
| Base32 | SUCCESS | done | - | 56/72 | - | 0 | 54.7 |
| Base64 | FAILED | generated | unknown | ? | - | ? | 59.2 |
| Base64Coder | FAILED | llm_called | unknown | ? | - | ? | 5.3 |
| BigDecimalUtil | SUCCESS | done | - | 4/6 | - | 0 | 33.3 |
| BinaryDisplayConverter | FAILED | generated | unknown | ? | - | ? | 226.8 |
| ByteVector | FAILED | llm_called | unknown | ? | - | ? | 32.5 |
| Calculator | SUCCESS | done | - | 4/11 | - | 0 | 21.9 |
| CamelCaseUtil | SUCCESS | done | - | 18/31 | - | 0 | 59.0 |
| CommandLine | SUCCESS | done | - | 6/32 | - | 0 | 69.0 |
| DateTools | SUCCESS | done | - | 7/27 | - | 0 | 66.8 |
| DateUtil | FAILED | generated | unknown | ? | - | ? | 196.9 |
| DisplayHelper | SUCCESS | done | - | 8/9 | - | 0 | 27.7 |
| EmailFacadeState | SUCCESS | done | - | 5/13 | 12/13 | 0 | 65.6 |
| ExtBoolArray | FAILED | generated | unknown | ? | - | ? | 55.8 |
| FilterMatcher | FAILED | generated | unknown | ? | - | ? | 51.0 |
| GridLayout2 | FAILED | generated | unknown | ? | - | ? | 199.9 |
| HtmlEncoder | SUCCESS | done | - | 6/7 | - | 0 | 48.3 |
| IndexedString | SUCCESS | done | - | 23/28 | 25/28 | 0 | 70.6 |
| Inflection | SUCCESS | done | - | 12/20 | - | 0 | 77.9 |
| InspirentoUtilities | FAILED | llm_called | unknown | ? | - | ? | 13.7 |
| MapUtil | SUCCESS | done | - | 5/16 | - | 0 | 29.7 |
| MathUtil | FAILED | generated | unknown | ? | - | ? | 74.0 |
| NaturalSort | SUCCESS | done | - | 12/66 | 20/66 | 0 | 80.8 |
| Reference | SUCCESS | done | - | 9/19 | 9/19 | 0 | 86.1 |
| Region | SUCCESS | done | - | 19/25 | - | 0 | 93.2 |
| OutputConfig | SUCCESS | done | - | 15/31 | 19/31 | 0 | 84.9 |
| SAXPathException | SUCCESS | done | - | 2/10 | 2/10 | 0 | 88.2 |
| StringComparator | SUCCESS | done | - | 14/16 | - | 0 | 33.8 |
| StringEncoder64 | SUCCESS | done | - | 25/177 | - | 0 | 72.0 |
| StringLink | SUCCESS | done | - | 8/15 | - | 0 | 35.9 |
| StringUtils | FAILED | generated | unknown | ? | - | ? | 198.6 |
| ToStringConverter | SUCCESS | done | - | 7/7 | - | 0 | 31.5 |
| UniqueTimestampGenerator | FAILED | llm_called | unknown | ? | - | ? | 43.0 |
| Util | SUCCESS | done | - | 20/28 | - | 0 | 71.9 |
| Utils | SUCCESS | done | - | 17/24 | - | 0 | 67.3 |
| Version | SUCCESS | done | - | 11/19 | 13/19 | 0 | 81.3 |
| Wildcard | SUCCESS | done | - | 18/22 | - | 0 | 53.3 |
| XStringSupport | TIMEOUT | - | timeout | ? | - | ? | ? |
