Run	Model	start	End	Total time(min)	Initial errors	Repair count	Error progression	Result	Failure_category	Programmatic_Fix_Used	baseline_mutation	augmented_mutation	tests_generated	augmentation_success
1	deepseek-coder:6.7b	02:26	02:27	0.6	0	0	-	Success	-	No	14/25	-	4	skip
2	deepseek-coder:6.7b	02:30	02:31	0.6	0	0	-	Success	-	No	14/25	-	4	skip
1	deepseek-coder:6.7b	06:54	06:58	4.1	1	10	1-1-1-1-1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	06:58	07:03	4.6	1	10	1-1-1-1-1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
3	deepseek-coder:6.7b	07:03	07:06	2.7	2	3	2-2-2-2	Fail	repair_validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	07:13	07:13	0.4	0	0	-	Fail	validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	07:13	07:13	0.3	0	0	-	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	07:13	07:14	0.4	0	0	-	Fail	mvn_no_parse	-	-	-	-	-
2	deepseek-coder:6.7b	07:22	07:23	1.2	3	1	3-2-1	Success	-	Yes	10/11	-	5	skip
3	deepseek-coder:6.7b	07:23	07:23	0.5	0	0	-	Success	-	No	7/19	-	5	skip
5	deepseek-coder:6.7b	07:23	07:24	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	07:34	07:35	1.0	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
4	deepseek-coder:6.7b	07:35	07:36	0.6	0	0	-	Success	-	No	7/19	-	5	skip
5	deepseek-coder:6.7b	07:36	07:36	0.6	0	0	-	Success	-	No	14/25	-	4	skip
4	deepseek-coder:6.7b	07:41	07:41	0.6	0	0	-	Success	-	No	10/11	-	5	skip
5	deepseek-coder:6.7b	07:41	07:42	0.6	0	0	-	Success	-	No	7/19	-	5	skip
6	deepseek-coder:6.7b	07:42	07:43	0.7	0	0	-	Success	-	No	14/25	-	4	skip
7	deepseek-coder:6.7b	07:43	07:45	1.5	0	0	-	Success	-	No	14/25	16/25	6	yes
5	deepseek-coder:6.7b	07:46	07:47	1.2	2	0	2	Success	-	Yes	10/11	-	5	no
6	deepseek-coder:6.7b	07:47	07:48	1.1	0	0	-	Success	-	No	7/19	5/19	4	yes
8	deepseek-coder:6.7b	07:48	07:50	1.4	0	0	-	Success	-	No	16/25	16/25	5	yes
1	deepseek-coder:6.7b	09:07	09:09	1.3	0	0	-	Success	-	No	24/57	24/57	7	yes
