Run	Model	start	End	Total time(min)	Initial errors	Repair count	Error progression	Result	Failure_category	Programmatic_Fix_Used	baseline_mutation	augmented_mutation	tests_generated	augmentation_success
1	deepseek-coder:6.7b	19:38	19:42	4.5	4	4	4-4-4-4	Success	-	No	22/57	-	4	no
1	deepseek-coder:6.7b	19:42	19:44	1.6	0	0	-	Success	-	No	39/40	-	2	skip
1	deepseek-coder:6.7b	19:44	19:48	3.9	2	6	2-2-1-2-2-1-2-2-1-2	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	19:48	19:55	7.4	1	6	1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	19:55	20:01	5.7	1	6	1-1-2-3-3-3-4	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	20:01	20:02	0.9	2	0	2	Success	-	Yes	4/6	-	4	skip
1	deepseek-coder:6.7b	20:02	20:06	4.1	1	6	1-1-1-1-1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	20:06	20:06	0.5	0	0	-	Fail	validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	20:06	20:10	3.2	1	4	1-5-2-2-2-2-1-2	Success	-	Yes	4/11	-	2	skip
1	deepseek-coder:6.7b	20:10	20:14	4.3	1	6	1-1-1-1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	20:14	20:16	1.9	0	0	-	Success	-	No	15/32	-	5	no
1	deepseek-coder:6.7b	20:16	20:21	5.2	4	3	4-3-2-2-2	Success	-	Yes	15/27	-	6	no
1	deepseek-coder:6.7b	20:21	20:25	4.2	2	6	2-1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	20:25	20:26	0.7	0	0	-	Success	-	No	9/9	-	4	skip
1	deepseek-coder:6.7b	20:26	20:29	2.8	2	6	2-2-2-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	20:29	20:31	2.4	2	3	2-1-4-2-1-4	Fail	repair_validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	20:31	20:33	2.3	1	2	1-1	Success	-	No	12/24	-	4	no
1	deepseek-coder:6.7b	20:33	20:35	2.1	7	0	7	Fail	repair_validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	20:35	20:36	0.4	0	0	-	Fail	mvn_no_parse	-	-	-	-	-
1	deepseek-coder:6.7b	20:36	20:39	3.3	2	6	2-2-2-2-2-2-2	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	20:39	20:41	1.9	1	1	1	Success	-	No	12/20	-	3	no
1	deepseek-coder:6.7b	20:41	20:43	2.1	1	1	1	Success	-	No	15/16	16/16	3	yes
1	deepseek-coder:6.7b	20:43	20:44	0.7	0	0	-	Success	-	No	15/16	-	3	skip
1	deepseek-coder:6.7b	20:44	20:53	8.9	1	4	1-1-1-1-1	Fail	repair_validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	20:53	20:55	1.9	0	0	-	Success	-	No	33/66	33/66	6	yes
1	deepseek-coder:6.7b	20:55	20:56	1.8	0	0	-	Success	-	No	8/19	-	6	no
1	deepseek-coder:6.7b	20:56	20:58	1.8	0	0	-	Success	-	No	12/25	14/25	8	yes
1	deepseek-coder:6.7b	20:58	21:02	4.2	1	3	1-1-1-1-1-1-1	Fail	repair_validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	21:02	21:03	1.0	0	0	-	Success	-	No	1/10	-	3	skip
1	deepseek-coder:6.7b	21:03	21:07	3.6	1	6	1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	21:07	21:09	2.2	1	1	1	Success	-	No	116/177	-	3	no
1	deepseek-coder:6.7b	21:09	21:11	1.7	0	0	-	Success	-	No	4/15	-	3	no
1	deepseek-coder:6.7b	21:11	21:14	3.2	1	6	1-1-1-1-1-1-1-2-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	21:14	21:15	0.8	1	1	1	Fail	pitest_fail	-	-	-	-	-
1	deepseek-coder:6.7b	21:15	21:21	5.7	1	6	1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	21:21	21:21	0.7	0	0	-	Success	-	No	8/28	-	5	skip
1	deepseek-coder:6.7b	21:21	21:25	3.8	1	4	1-1-1-2-1	Success	-	Yes	11/24	-	5	no
1	deepseek-coder:6.7b	21:25	21:26	0.8	0	0	-	Success	-	No	14/19	-	5	skip
1	deepseek-coder:6.7b	21:26	21:28	2.3	2	4	2-2-1-2-2-1	Fail	mvn_no_parse	-	-	-	-	-
1	deepseek-coder:6.7b	21:28	21:32	4.0	1	6	1-1-1-1-1-2-1	Success	-	Yes	12/32	-	2	no
